EmpID,Name,Age,Salary 
3454570,AAA,-2.0,-1900000 
10673354,DDD,-22.0,2400000 
9229941,AAA,6.0,2400000 
5072972,AAA,57.0,3200000 
137014,FFF,-12.0,-1900000 
13695662,DDD,33.0,1700000 
8950802,CCC,-45.0, 
16034974,AAA,8.0, 
15277629,CCC,12.0,900000 
932358,BBB,,2400000 
1328399,EEE,35.0,1500000 
2949236,GGG,62.0, 
9945070,AAA,61.0,3200000 
8416829,CCC,-45.0,3200000 
2861761,HHH,65.0,900000 
12077905,HHH,-2.0,1500000 
6597437,GGG,,-1900000 
1751381,BBB,-45.0,1500000 
6092234,HHH,5.0,900000 
14550409,HHH,-8.0, 
7861957,EEE,-45.0,2100000 
1707664,BBB,24.0,1500000 
14800729,BBB,31.0, 
4421437,EEE,,900000 
14852585,FFF,9.0,-1900000 
6615469,DDD,,2100000 
1171638,GGG,-3.0,2400000 
5172319,AAA,, 
14569956,GGG,-20.0,900000 
561670,GGG,37.0,900000 
4434566,AAA,-16.0,-1900000 
14050656,AAA,47.0,1500000 
2342552,EEE,-45.0,900000 
2170,AAA,40.0,1700000 
10099377,HHH,42.0,900000 
5610860,AAA,21.0, 
4088399,EEE,39.0, 
711025,EEE,14.0,2400000 
156431,CCC,,900000 
5395663,BBB,,3200000 
6300135,EEE,-45.0,2100000 
1601408,EEE,37.0, 
1427334,DDD,36.0,-1900000 
6279789,FFF,49.0, 
6487719,FFF,22.0,-1900000 
13364699,CCC,-9.0,3200000 
4795810,EEE,16.0,1500000 
16715715,AAA,58.0,1500000 
5383979,BBB,-5.0,3200000 
12829770,FFF,54.0,1500000 
10023356,DDD,32.0,1500000 
11345141,AAA,63.0, 
9938584,HHH,,2100000 
4477944,EEE,-17.0,1500000 
11017527,HHH,-14.0,900000 
1118716,BBB,-6.0,1700000 
9387034,AAA,, 
15837561,CCC,16.0,2100000 
8862901,EEE,-45.0,-1900000 
7791668,BBB,35.0,2100000 
8267696,HHH,65.0,2400000 
1663482,GGG,-45.0,900000 
5848465,EEE,13.0, 
6092334,GGG,,2100000 
7880549,HHH,44.0,900000 
2105379,CCC,42.0,2400000 
7511772,HHH,65.0,900000 
495449,AAA,4.0,3200000 
2074021,FFF,-4.0, 
3550592,DDD,,2400000 
7775039,EEE,65.0,900000 
7662198,EEE,-24.0,-1900000 
14307114,DDD,40.0,2100000 
13943438,HHH,-45.0, 
5058471,DDD,2.0,1700000 
4032003,BBB,14.0, 
8815997,GGG,-1.0,3200000 
8941200,AAA,-45.0,-1900000 
13877552,DDD,-15.0,3200000 
2063752,DDD,-3.0,2100000 
14936777,AAA,8.0,2400000 
16195161,AAA,25.0,1700000 
8232159,GGG,-41.0,900000 
14371775,HHH,-31.0,2100000 
837732,GGG,38.0,2400000 
9548051,CCC,59.0,-1900000 
1484939,FFF,-45.0,1700000 
11749439,BBB,-45.0, 
6079706,HHH,-2.0, 
12674884,EEE,-45.0,900000 
11682399,HHH,,3200000 
6351778,AAA,0.0,900000 
7645759,DDD,,2100000 
12160571,EEE,30.0,1700000 
238975,AAA,-45.0,900000 
10537273,EEE,54.0,2400000 
13726105,FFF,-45.0,3200000 
14816519,FFF,18.0,3200000 
7367755,BBB,-45.0,1500000 
15440011,HHH,58.0,3200000 
1350250,HHH,-1.0,1500000 
12337271,HHH,-8.0,1500000 
11999759,DDD,-4.0,-1900000 
1552722,DDD,,1700000 
14265527,AAA,65.0,3200000 
11339680,CCC,-18.0,900000 
16499087,CCC,-7.0,-1900000 
15792474,GGG,-45.0,2400000 
2018441,BBB,,2400000 
9271176,HHH,-45.0,1500000 
6899960,AAA,4.0,900000 
7443658,EEE,42.0, 
5972840,BBB,-3.0,1500000 
5183144,HHH,-3.0, 
7351669,FFF,6.0,3200000 
7289289,DDD,49.0,-1900000 
14018954,BBB,-45.0,1500000 
9017112,DDD,-45.0,1700000 
9595069,HHH,,2100000 
10256819,BBB,-45.0,900000 
9631576,BBB,-23.0,2100000 
15393244,BBB,6.0,1500000 
1340735,HHH,-11.0,2400000 
13713342,AAA,42.0,900000 
9266200,AAA,25.0,3200000 
13632664,HHH,6.0,3200000 
4065372,GGG,5.0,2400000 
711093,BBB,,3200000 
8412900,EEE,56.0,2400000 
6454632,DDD,26.0,1500000 
5967386,HHH,7.0,1500000 
15642615,EEE,28.0,1700000 
9920681,GGG,16.0,3200000 
1148341,BBB,7.0,2400000 
11270192,GGG,17.0,2100000 
15977115,HHH,65.0,2400000 
3744678,CCC,40.0,-1900000 
14328756,DDD,7.0, 
2320150,EEE,48.0,3200000 
13270830,HHH,-45.0,2400000 
13366904,HHH,-8.0,2100000 
2695972,HHH,25.0,1500000 
6662439,CCC,8.0,1700000 
14186907,HHH,29.0,-1900000 
9044603,CCC,-5.0,-1900000 
8616701,HHH,-45.0,1500000 
15259087,GGG,-45.0,2400000 
6546684,HHH,20.0, 
13844366,EEE,26.0,2400000 
11966236,HHH,26.0,3200000 
2984808,CCC,21.0,1500000 
2821914,EEE,-16.0,3200000 
6897487,BBB,-35.0,2100000 
3294261,GGG,65.0, 
9481709,BBB,,3200000 
6711631,GGG,39.0,900000 
13572998,EEE,6.0,3200000 
15581900,BBB,59.0,1500000 
1719705,AAA,65.0,-1900000 
11192790,AAA,49.0,-1900000 
15173088,EEE,,2400000 
9405348,EEE,65.0,2100000 
10630571,FFF,-45.0,1500000 
5355447,BBB,-17.0,1500000 
1791540,HHH,-25.0,1500000 
14200695,GGG,38.0,2100000 
13753352,HHH,-13.0,3200000 
14533575,BBB,20.0,-1900000 
3630411,DDD,34.0,1500000 
12221756,GGG,,1500000 
15966974,EEE,29.0,1500000 
14893679,GGG,2.0,2400000 
11344526,HHH,,1500000 
15253565,CCC,10.0,3200000 
1613099,BBB,39.0,1700000 
12791228,FFF,37.0,2100000 
14514254,DDD,59.0,1500000 
6662419,GGG,-22.0,2100000 
9864959,EEE,9.0,900000 
4505014,AAA,10.0,900000 
8779729,EEE,,3200000 
16741254,EEE,,3200000 
6247297,FFF,15.0,2100000 
4559934,AAA,6.0,3200000 
93446,GGG,0.0,1500000 
6841671,FFF,36.0,2400000 
5272976,GGG,2.0,900000 
13801851,DDD,-44.0,2100000 
7062148,HHH,,2400000 
3838215,CCC,60.0,1700000 
12968891,AAA,42.0,-1900000 
4130194,FFF,47.0,2100000 
3452680,FFF,65.0,-1900000 
542638,FFF,, 
13850776,BBB,-21.0, 
13299042,GGG,34.0,1700000 
7588785,FFF,19.0,900000 
10466265,HHH,43.0,3200000 
11634493,AAA,-10.0,900000 
4640422,AAA,,900000 
366653,GGG,12.0,1500000 
8294696,HHH,28.0,2400000 
10256666,FFF,19.0, 
4237871,FFF,-45.0,-1900000 
8370634,DDD,,2400000 
3484102,FFF,-5.0,3200000 
7829240,BBB,-8.0,2100000 
1940165,GGG,8.0,1700000 
12798429,FFF,44.0,3200000 
4442828,CCC,-45.0,1500000 
336406,BBB,-10.0,2400000 
3584511,DDD,17.0, 
11095568,AAA,65.0,2400000 
11701398,DDD,-45.0,1700000 
8303943,AAA,51.0,-1900000 
7055276,BBB,27.0,2400000 
8994095,AAA,10.0,3200000 
6799500,AAA,-6.0,2400000 
12791396,CCC,24.0,1500000 
3232993,BBB,,1700000 
16287966,EEE,23.0,1700000 
