EmpID,Name,Age,Salary 
3454570,BBB,19.0,1700000 
10673354,EEE,42.0, 
9229941,DDD,29.0, 
5072972,DDD,44.0,3200000 
137014,CCC,42.0,3200000 
13695662,HHH,57.0,3200000 
8950802,HHH,45.0,3200000 
16034974,CCC,50.0,3200000 
15277629,GGG,49.0,3200000 
932358,FFF,,3200000 
1328399,BBB,34.0,1500000 
2949236,HHH,43.0,2100000 
9945070,BBB,20.0,2100000 
8416829,BBB,38.0, 
2861761,AAA,39.0,1700000 
12077905,HHH,45.0, 
6597437,AAA,, 
1751381,FFF,28.0,1500000 
6092234,FFF,45.0,3200000 
14550409,EEE,54.0,2400000 
7861957,AAA,40.0,1500000 
1707664,EEE,27.0,900000 
14800729,FFF,47.0,1700000 
4421437,AAA,, 
14852585,EEE,11.0,2100000 
6615469,HHH,, 
1171638,EEE,43.0,1700000 
5172319,HHH,,3200000 
14569956,DDD,28.0,2100000 
561670,CCC,24.0,900000 
4434566,BBB,41.0, 
14050656,GGG,48.0,2400000 
2342552,CCC,28.0,1700000 
2170,CCC,25.0,1700000 
10099377,BBB,24.0,1500000 
5610860,FFF,42.0, 
4088399,CCC,44.0, 
711025,EEE,33.0, 
156431,BBB,,1500000 
5395663,EEE,,900000 
6300135,DDD,40.0, 
1601408,BBB,20.0,1500000 
1427334,DDD,36.0, 
6279789,DDD,49.0, 
6487719,AAA,40.0, 
13364699,GGG,29.0, 
4795810,BBB,20.0,900000 
16715715,GGG,43.0,3200000 
5383979,GGG,39.0,1500000 
12829770,FFF,26.0,2100000 
10023356,DDD,24.0,2100000 
11345141,DDD,49.0,3200000 
9938584,BBB,, 
4477944,DDD,23.0,2100000 
11017527,BBB,46.0,1500000 
1118716,GGG,54.0,2400000 
9387034,DDD,,1700000 
15837561,GGG,38.0, 
8862901,FFF,45.0,1500000 
7791668,DDD,48.0,1500000 
8267696,DDD,42.0, 
1663482,CCC,52.0, 
5848465,DDD,47.0, 
6092334,FFF,,2100000 
7880549,FFF,44.0,1500000 
2105379,GGG,24.0,900000 
7511772,DDD,44.0, 
495449,AAA,35.0, 
2074021,FFF,34.0,900000 
